"id","sex","yr","age","cgpa","bdevice","adevice","btime","atime","bdevstudy","adevstudy","bconc","aconc","bbed","abed","baffbed","aaffbed","btire","atire","socdist","isolate","personality","lazy","boredom","psycho","afford","unhealthy","covidstress","devicegpa","assgn","f2f","quiz","class"
192,"Female","Other","25-30","70-79","Laptop","Mobile phone","3-6","6-9","Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Uncertain","Uncertain","Agree","Agree","Strongly Agree","Disagree","Uncertain	","Uncertain	","Disagree","Agree","Agree","Agree","Uncertain","Uncertain","Disagree","Disagree","Agree","Strongly Agree",2
193,"Male","Fourth/Senior","18-24","70-79","Other","Laptop","1-3 ","1-3 ","Disagree","Agree","Agree","Agree","Strongly Agree","Disagree","Agree","Agree","Agree","Agree","Uncertain	","Uncertain	","Agree	","Agree	","Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Disagree","Strongly Agree","Agree","Disagree",2
194,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Uncertain","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
195,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","9-12","9-12","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Agree","Agree","Disagree","Disagree","Agree	","Agree	","Uncertain","Uncertain","Agree","Disagree","Strongly Agree","Disagree","Strongly Disagree","Uncertain","Strongly Disagree",2
196,"Female","First/Freshman","25-30","80-89","Mobile phone","Mobile phone","1-3 ","6-9","Disagree","Strongly Agree","Uncertain","Uncertain","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree",1
197,"Male","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","6-9","Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Strongly Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",3
198,"Female","Fourth/Senior","25-30","+90","Mobile phone","Mobile phone","1-3 ","6-9","Agree","Strongly Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Disagree","Strongly Agree","Agree	","Agree	","Agree	","Agree	","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree",3
199,"Female","Second/ Sophomore","18-24","80-89","Other","Laptop","1-3 ","9-12","Disagree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Agree","Disagree","Disagree","Uncertain	","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Agree","Agree","Strongly Agree",3
200,"Female","Fourth/Senior","18-24","70-79","I pad/ Tablet","Laptop","6-9","9-12","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree	","","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Uncertain","Agree","Strongly Disagree",2
201,"Female","Fourth/Senior","18-24","+90","Mobile phone","Laptop","1-3 ","6-9","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
202,"Female","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","6-9","Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree	","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Uncertain","Disagree","Strongly Disagree","Uncertain","Strongly Disagree",2
203,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","6-9","9-12","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
204,"Male","Third/Junior","25-30","80-89","I pad/ Tablet","I pad/ Tablet","1-3 ","3-6","Agree","Agree","Agree","Uncertain","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Uncertain	","Uncertain	","Uncertain	","Agree	","Disagree","Agree","Agree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Disagree",2
205,"Female","First/Freshman","18-24","80-89","Laptop","Laptop","1-3 ","6-9","Disagree","Strongly Agree","Agree","Uncertain","Uncertain","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Agree	","Strongly Agree","Agree","Uncertain","","Agree","Disagree","Agree","Strongly Agree","Disagree",2
206,"Female","First/Freshman","18-24","80-89","Other","I pad/ Tablet","1-3 ","3-6","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree",3
207,"Male","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
208,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Uncertain","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Agree	","Agree	","Agree","Strongly Agree","Agree","Agree","Agree","Uncertain","Agree","Agree","Agree",2
209,"Female","Second/ Sophomore","18-24","80-89","Other","Laptop","1-3 ","9-12","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
210,"Female","First/Freshman","18-24","70-79","Laptop","Laptop","3-6","+12","Uncertain","Strongly Agree","Agree","Agree","Strongly Agree","Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree	","Uncertain	","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
211,"Female","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","9-12","Uncertain","Agree","Uncertain","Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Agree","Disagree","Strongly Disagree",3
212,"Female","Fourth/Senior","18-24","70-79","Other","Personal Computer","1-3 ","3-6","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
213,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","1-3 ","6-9","Uncertain","Agree","Disagree","Agree","Agree","Uncertain","Disagree","Disagree","Uncertain","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Uncertain",1
214,"Male","Third/Junior","18-24","60-69","Laptop","Laptop","1-3 ","3-6","Disagree","Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
215,"Female","First/Freshman","18-24","+90","Other","Mobile phone","1-3 ","6-9","Disagree","Agree","Uncertain","Uncertain","Agree","Agree","Disagree","Uncertain","Strongly Agree","Strongly Agree","Agree	","Agree	","Uncertain	","Uncertain	","Agree","Agree","Agree","Agree","Uncertain","Agree","Disagree","Agree","Disagree",2
216,"Male","Second/ Sophomore","18-24","+90","Personal Computer","Personal Computer","1-3 ","3-6","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",3
217,"Male","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
218,"Male","Third/Junior","25-30","60-69","Mobile phone","Mobile phone","+12","9-12","Uncertain","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Disagree","Disagree","Uncertain","Strongly Agree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree",2
219,"Female","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","1-3 ","6-9","Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Disagree","Uncertain","Strongly Agree","Agree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
220,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","3-6","6-9","Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Uncertain","Uncertain","Agree	","Agree	","Agree	","Agree	","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain",2
221,"Male","Second/ Sophomore","18-24","70-79","Other","Mobile phone","1-3 ","6-9","Disagree","Agree","Agree","Strongly Agree","Uncertain","Uncertain","Uncertain","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Strongly Agree","Agree","Uncertain","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",1
222,"Female","Second/ Sophomore","+30","+90","Mobile phone","Mobile phone","3-6","1-3 ","Agree","Agree","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Agree	","Disagree","Uncertain	","Uncertain	","Uncertain","Agree","Agree","Uncertain","Uncertain","Uncertain","Uncertain","Agree","Uncertain",2
223,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","Disagree","Disagree","Strongly Agree","Strongly Agree","Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
224,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","6-9","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Agree","Disagree","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree",1
225,"Female","Second/ Sophomore","25-30","+90","Laptop","Laptop","1-3 ","6-9","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Disagree","Uncertain","Agree","Agree","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Uncertain","Agree","Uncertain","Agree","Strongly Agree","Uncertain",3
226,"Female","First/Freshman","18-24","80-89","Laptop","Mobile phone","6-9","9-12","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
227,"Female","First/Freshman","18-24","70-79","Laptop","Laptop","1-3 ","1-3 ","Agree","Uncertain","Strongly Agree","Strongly Agree","Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
228,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree",3
229,"Female","Third/Junior","25-30","80-89","Mobile phone","Laptop","3-6","6-9","Uncertain","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
230,"Female","First/Freshman","18-24","+90","Laptop","Laptop","1-3 ","6-9","Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Uncertain	","Disagree","Agree	","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Uncertain","Agree","Agree",2
231,"Female","First/Freshman","18-24","+90","Other","Other","1-3 ","1-3 ","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Uncertain",1
232,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","3-6","6-9","Uncertain","Uncertain","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Uncertain",3
233,"Female","Third/Junior","+30","80-89","Mobile phone","Mobile phone","1-3 ","6-9","Agree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Strongly Agree","Disagree","Agree	","Disagree","Disagree","Agree","Agree","Strongly Agree","Uncertain","Agree","Disagree","Agree","Uncertain","Disagree",2
234,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","9-12","Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Agree","Strongly Agree","Agree","Agree",3
235,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","Uncertain","Agree","Uncertain","Uncertain","Agree","Uncertain","Disagree","Agree","Disagree","Agree","Uncertain	","Agree	","Agree	","Agree	","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Uncertain","Agree","Agree",2
236,"Female","Third/Junior","18-24","+90","Laptop","Laptop","6-9","3-6","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Uncertain","Agree","Agree	","Uncertain	","Agree	","Uncertain	","Uncertain","Agree","Agree","Uncertain","Uncertain","Agree","Uncertain","Strongly Agree","Disagree",2
237,"Male","Second/ Sophomore","25-30","60-69","Mobile phone","Mobile phone","1-3 ","9-12","Agree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree	","Agree	","Agree	","Agree	","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",2
238,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","1-3 ","Disagree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Strongly Agree","Agree	","Uncertain	","Strongly Agree","Agree	","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain",1
239,"Female","Other","18-24","+90","I pad/ Tablet","I pad/ Tablet","3-6","9-12","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Agree	","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree",1
240,"Male","Second/ Sophomore","18-24","70-79","Other","Laptop","1-3 ","3-6","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree	","Agree	","Agree	","Agree	","Agree","Agree","Strongly Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","Uncertain","Uncertain",2
241,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","9-12","Disagree","Strongly Agree","Uncertain","Disagree","Agree","Disagree","Uncertain","Agree","Disagree","Agree","Uncertain	","Agree	","Agree	","Agree	","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree",3
242,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","9-12","+12","Uncertain","Disagree","Uncertain","Agree","Strongly Agree","Uncertain","Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Uncertain","Strongly Agree","Strongly Agree",1
243,"Male","Second/ Sophomore","18-24","80-89","Laptop","Laptop","3-6","6-9","Uncertain","Strongly Agree","Uncertain","Agree","Uncertain","Uncertain","Uncertain","Strongly Agree","Agree","Agree","Uncertain	","Agree	","Agree	","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree",1
244,"Female","Second/ Sophomore","25-30","70-79","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree	","Disagree","Agree	","Agree","Strongly Agree","Uncertain","Disagree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree",2
245,"Female","Second/ Sophomore","25-30","70-79","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Disagree","Strongly Agree","Strongly Agree","Agree	","Disagree","Agree	","Agree","Strongly Agree","Uncertain","Disagree","Agree","Disagree","Strongly Agree","Agree","Strongly Agree",2
246,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree	","Strongly Agree","Uncertain	","Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
247,"Female","First/Freshman","+30","+90","Mobile phone","Mobile phone","9-12","9-12","Disagree","Disagree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
248,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","3-6","6-9","Uncertain","Strongly Agree","Uncertain","Uncertain","Strongly Agree","Strongly Agree","Agree","Agree","Uncertain","Uncertain","Uncertain	","Uncertain	","Uncertain	","Uncertain	","Uncertain","Agree","Agree","Disagree","Uncertain","Disagree","Uncertain","Strongly Disagree","Strongly Disagree",2
249,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","3-6","1-3 ","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Uncertain","Strongly Agree","Agree","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree",1
250,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","Uncertain","Strongly Agree","Disagree","Strongly Agree","Agree","Disagree","Uncertain","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree	","Agree	","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
251,"Female","Fourth/Senior","25-30","60-69","Mobile phone","Mobile phone","1-3 ","6-9","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Agree","Disagree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Agree	","Disagree","Agree	","Agree","Strongly Agree","Agree","Disagree","Agree","Strongly Disagree","Uncertain","Strongly Disagree","Agree",2
252,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Uncertain","Uncertain","Agree","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
253,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","1-3 ","6-9","Uncertain","Uncertain","Agree","Agree","Strongly Agree","Uncertain","Uncertain","Agree","Agree","Strongly Agree","Agree	","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree",1
254,"Female","Second/ Sophomore","25-30","80-89","Laptop","Laptop","1-3 ","3-6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Uncertain	","Uncertain	","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
255,"Male","First/Freshman","18-24","80-89","Laptop","Laptop","1-3 ","1-3 ","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree",2
256,"Female","Third/Junior","18-24","70-79","Laptop","Mobile phone","1-3 ","3-6","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Agree","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Agree	","Agree	","Agree	","Agree	","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree",1
257,"Female","First/Freshman","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",1
258,"Female","Other","+30","70-79","Laptop","Mobile phone","1-3 ","3-6","Agree","Strongly Agree","Disagree","Uncertain","Strongly Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Agree	","Agree	","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree",1
259,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","1-3 ","3-6","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Uncertain","Uncertain","Strongly Disagree","Disagree","Agree	","Strongly Disagree","Disagree","Strongly Agree","Strongly Agree","Disagree","Disagree","Agree","Uncertain","Agree","Strongly Agree",2
260,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","9-12","+12","Agree","Strongly Agree","Agree","Disagree","Agree","Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Agree	","Agree	","Agree	","Agree	","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree",1
261,"Female","Fourth/Senior","+30","+90","Mobile phone","Mobile phone","3-6","6-9","Agree","Strongly Agree","Uncertain","Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree	","Agree	","Agree	","Agree	","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree",1
262,"Male","Other","18-24","60-69","Mobile phone","Laptop","1-3 ","+12","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Uncertain","Strongly Agree","Strongly Agree","Uncertain	","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",3
263,"Female","Second/ Sophomore","18-24","70-79","Laptop","Laptop","3-6","9-12","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree",1
