"id","sex","yr","age","cgpa","bdevice","adevice","btime","atime","bdevstudy","adevstudy","bconc","aconc","bbed","abed","baffbed","aaffbed","btire","atire","socdist","isolate","personality","lazy","boredom","psycho","afford","unhealthy","covidstress","devicegpa","assgn","f2f","quiz"
152,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","3-6","1","2","3","4","3","1","1","4","1","4","4","4","4","4","4","4","3","4","4","4","4","4","3"
153,"Male","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","1","1","4","3","3","1","1","4","4","4","3","4","4","4","4","1","4","4","4","4","3","4","3"
154,"Male","Other","25-30","60-69","Mobile phone","Mobile phone","1-3 ","1-3 ","1","3","4","4","1","2","3","3","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4"
155,"Female","First/Freshman","18-24","80-89","Laptop","Mobile phone","1-3 ","1-3 ","4","4","2","2","3","2","4","3","4","4","4","3","3","3","2","2","4","4","3","3","4","3","4"
156,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","3-6","9-12","1","3","4","4","3","1","3","4","4","4","3","4","4","4","4","4","4","4","4","3","4","4","4"
157,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","2","4","2","1","3","1","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3"
158,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","1-3 ","6-9","1","4","4","4","4","0","2","4","3","4","2","3","4","4","4","4","4","4","4","4","4","4","4"
159,"Male","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","3","3","3","3","3","3","2","2","2","3","3","3","2","2","3","3","2","2","2","3","3","3","2"
160,"Female","First/Freshman","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","2","4","4","4","4","1","3","3","4","4","4","4","3","3","4","2","4","4","4","3","3","4","4"
161,"Female","Fourth/Senior","25-30","+90","Mobile phone","Mobile phone","1-3 ","6-9","1","3","4","2","4","3","3","3","4","4","4","3","3","3","3","3","3","4","3","4","4","4","0"
162,"Female","First/Freshman","+30","+90","Other","Other","1-3 ","1-3 ","1","3","2","2","3","3","0","1","4","4","3","3","3","2","3","3","3","1","2","1","1","3","4"
163,"Female","Second/ Sophomore","+30","80-89","Mobile phone","Laptop","1-3 ","3-6","3","4","3","2","3","4","2","2","1","4","1","2","3","4","4","4","4","1","4","3","3","4","4"
164,"Male","Second/ Sophomore","25-30","80-89","Mobile phone","Mobile phone","6-9","6-9","3","3","3","3","4","4","4","4","3","4","3","4","3","3","4","3","4","4","3","4","3","4","3"
165,"Female","Third/Junior","18-24","60-69","Mobile phone","Mobile phone","1-3 ","1-3 ","3","3","1","1","1","1","3","3","2","2","0","2","0","4","3","3","3","2","4","4","3","4","2"
166,"Female","Third/Junior","18-24","80-89","Mobile phone","Personal Computer","1-3 ","3-6","2","4","2","4","1","1","2","4","2","4","2","3","3","4","4","4","3","4","4","4","4","4","4"
167,"Female","Fourth/Senior","18-24","70-79","Laptop","Laptop","1-3 ","3-6","4","4","1","1","3","1","2","3","2","2","3","2","2","3","2","3","3","2","3","2","1","2","2"
168,"Female","Fourth/Senior","18-24","+90","Mobile phone","Laptop","1-3 ","6-9","1","4","2","4","4","0","2","4","2","4","4","4","4","3","4","4","4","4","3","4","4","3","3"
169,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","3-6","1-3 ","2","3","2","3","3","0","4","4","4","4","3","4","2","4","4","4","4","4","4","3","2","4","2"
170,"Female","Third/Junior","18-24","60-69","Mobile phone","Mobile phone","3-6","1-3 ","3","3","4","4","2","2","3","3","4","4","2","2","3","4","3","4","4","2","4","3","4","2","3"
171,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","1-3 ","12+","2","4","3","3","4","2","1","3","1","4","3","4","4","4","4","4","3","4","4","3","4","4","4"
172,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Laptop","1-3 ","3-6","2","3","3","3","3","2","2","4","3","4","3","4","4","4","4","4","4","4","4","4","4","4","4"
173,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","3","3","3","3","4","2","4","4","3","3","4","3","4","4","4","4","4","4","4","4","4","4","4"
174,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","1","3","4","4","4","4","2","2","4","4","2","2","2","4","4","4","4","4","4","4","4","4","4"
175,"Female","Fourth/Senior","18-24","70-79","Laptop","Laptop","1-3 ","6-9","2","4","3","4","4","0","2","4","2","4","3","4","3","4","4","4","4","3","3","2","3","4","2"
176,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","1-3 ","3","3","2","3","4","3","1","3","1","4","3","3","4","4","4","3","3","4","4","4","4","4","4"
177,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","1-3 ","3","3","2","3","4","3","1","3","1","4","3","3","4","4","4","3","3","4","4","4","4","4","4"
178,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","2","4","1","0","3","1","1","3","2","3","3","3","2","3","3","3","3","2","3","3","2","2","3"
179,"Male","Second/ Sophomore","18-24","70-79","Other","Mobile phone","1-3 ","1-3 ","1","3","3","3","0","0","4","4","3","3","3","3","0","2","1","4","4","2","3","4","4","3","0"
180,"Female","Second/ Sophomore","18-24","60-69","Mobile phone","Laptop","1-3 ","3-6","3","4","2","3","2","2","3","3","3","4","3","3","3","3","3","3","3","3","3","3","3","3","3"
181,"Female","Other","18-24","80-89","Mobile phone","Laptop","3-6","6-9","2","3","2","2","1","1","3","3","4","4","4","3","4","4","4","4","3","3","4","2","3","3","4"
182,"Male","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","12+","0","0","3","4","3","1","2","1","0","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
183,"Male","Fourth/Senior","18-24","+90","Laptop","Laptop","6-9","12+","4","4","0","0","4","4","0","0","3","3","4","3","4","4","1","4","4","1","4","0","3","4","0"
184,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","2","3","4","4","4","0","0","4","4","4","4","3","4","4","4","4","4","2","4","4","4","4","4"
185,"Female","Fourth/Senior","18-24","Below 60","Mobile phone","Mobile phone","1-3 ","12+","3","2","3","3","4","2","1","4","4","4","3","4","4","4","4","4","4","3","4","4","4","3","2"
186,"Female","Second/ Sophomore","18-24","+90","Mobile phone","Personal Computer","6-9","6-9","3","3","1","1","3","1","3","4","4","4","2","2","1","4","4","4","4","3","4","4","4","4","4"
187,"Female","Fourth/Senior","18-24","Below 60","Mobile phone","Mobile phone","1-3 ","3-6","3","3","1","2","3","3","4","4","3","3","4","1","1","3","3","4","3","1","3","1","2","3","1"
188,"Female","Other","18-24","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","3","1","2","1","2","2","2","3","3","4","3","3","4","4","3","4","4","4","4","4","4","4","2"
189,"Female","Fourth/Senior","+30","+90","Mobile phone","Mobile phone","1-3 ","3-6","1","4","0","0","4","4","0","0","0","0","4","3","3","3","3","3","3","3","3","3","3","4","4"
190,"Female","First/Freshman","18-24","+90","Mobile phone","I pad/ Tablet","3-6","6-9","2","4","3","4","1","4","1","4","2","4","3","4","3","4","4","4","4","4","4","3","4","3","3"
191,"Male","Fourth/Senior","18-24","60-69","Laptop","Laptop","1-3 ","3-6","4","4","3","3","4","4","4","4","4","4","4","4","4","4","3","3","4","4","4","4","4","4","4"
192,"Female","Other","25-30","70-79","Laptop","Mobile phone","3-6","6-9","3","4","1","1","4","2","2","3","3","4","1","2","2","1","3","3","3","2","2","1","1","3","4"
193,"Male","Fourth/Senior","18-24","70-79","Other","Laptop","1-3 ","1-3 ","1","3","3","3","4","1","3","3","3","3","2","2","3","3","3","4","4","2","3","0","4","3","1"
194,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","3","3","4","4","1","2","2","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
195,"Female","Second/ Sophomore","18-24","80-89","Laptop","Laptop","9-12","9-12","4","4","1","1","4","4","2","2","3","3","1","1","3","3","2","2","3","1","4","1","0","2","0"
196,"Female","First/Freshman","25-30","80-89","Mobile phone","Mobile phone","1-3 ","6-9","1","4","2","2","3","3","4","4","4","4","3","4","4","4","4","4","3","4","3","4","3","3","4"
197,"Male","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","6-9","3","4","2","4","3","0","2","4","2","4","3","3","4","4","4","4","4","3","4","4","4","4","3"
198,"Female","Fourth/Senior","25-30","+90","Mobile phone","Mobile phone","1-3 ","6-9","3","4","3","3","3","1","1","3","1","4","3","3","3","3","4","3","3","3","3","3","1","3","3"
199,"Female","Second/ Sophomore","18-24","80-89","Other","Laptop","1-3 ","9-12","1","4","2","4","4","0","1","4","3","4","1","1","2","2","4","4","4","4","2","4","3","3","4"
200,"Female","Fourth/Senior","18-24","70-79","I pad/ Tablet","Laptop","6-9","9-12","3","3","4","4","3","1","3","3","3","3","3","1","1","4","4","4","3","4","4","3","2","3","0"
201,"Female","Fourth/Senior","18-24","+90","Mobile phone","Laptop","1-3 ","6-9","3","4","3","4","4","2","4","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
202,"Female","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","6-9","3","4","2","4","2","1","1","4","1","4","3","4","1","1","4","4","4","1","2","1","0","2","0"
203,"Female","First/Freshman","18-24","70-79","Mobile phone","Mobile phone","6-9","9-12","1","4","4","4","3","1","4","4","4","4","3","4","4","4","4","4","4","4","4","3","4","4","4"
204,"Male","Third/Junior","25-30","80-89","I pad/ Tablet","I pad/ Tablet","1-3 ","3-6","3","3","3","2","3","3","1","1","1","1","2","2","2","3","1","3","3","1","3","3","4","4","1"
205,"Female","First/Freshman","18-24","80-89","Laptop","Laptop","1-3 ","6-9","1","4","3","2","2","3","3","3","3","4","4","4","0","3","4","3","2","1","3","1","3","4","1"
206,"Female","First/Freshman","18-24","80-89","Other","I pad/ Tablet","1-3 ","3-6","1","4","4","4","4","1","2","4","2","4","4","3","4","4","4","4","4","4","4","3","4","4","1"
207,"Male","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","2","4","4","4","4","0","2","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
208,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","3","4","4","4","3","2","3","4","4","4","3","3","3","3","3","4","3","3","3","2","3","3","3"
209,"Female","Second/ Sophomore","18-24","80-89","Other","Laptop","1-3 ","9-12","3","4","3","3","4","0","2","4","3","4","4","4","4","4","4","4","4","2","4","4","4","4","4"
210,"Female","First/Freshman","18-24","70-79","Laptop","Laptop","3-6","12+","2","4","3","3","4","1","2","4","2","4","4","3","2","4","3","4","4","3","4","3","4","4","4"
211,"Female","Third/Junior","18-24","70-79","Laptop","Laptop","1-3 ","9-12","2","3","2","3","4","1","1","4","1","4","4","4","1","4","4","4","4","3","4","0","3","1","0"
212,"Female","Fourth/Senior","18-24","70-79","Other","Personal Computer","1-3 ","3-6","1","3","4","3","4","3","4","4","4","4","3","4","4","4","4","4","4","4","3","4","4","4","4"
213,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","1-3 ","6-9","2","3","1","3","3","2","1","1","2","4","3","4","3","4","4","4","4","4","4","3","4","4","2"
214,"Male","Third/Junior","18-24","60-69","Laptop","Laptop","1-3 ","3-6","1","3","2","4","4","0","1","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
215,"Female","First/Freshman","18-24","+90","Other","Mobile phone","1-3 ","6-9","1","3","2","2","3","3","1","2","4","4","3","3","2","2","3","3","3","3","2","3","1","3","1"
216,"Male","Second/ Sophomore","18-24","+90","Personal Computer","Personal Computer","1-3 ","3-6","1","3","4","4","4","1","1","4","4","4","3","3","4","4","4","4","4","4","4","4","4","4","3"
217,"Male","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","2","4","4","4","3","1","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","3"
218,"Male","Third/Junior","25-30","60-69","Mobile phone","Mobile phone","12+","9-12","2","4","3","4","4","4","1","1","1","1","4","1","1","1","2","4","4","1","1","1","1","4","1"
219,"Female","First/Freshman","18-24","80-89","Mobile phone","Mobile phone","1-3 ","6-9","3","4","4","2","3","0","2","4","3","4","3","4","4","4","4","4","4","4","4","4","4","4","4"
220,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","3-6","6-9","3","3","1","1","3","3","3","3","2","2","3","3","3","3","2","2","2","2","2","2","2","2","2"
221,"Male","Second/ Sophomore","18-24","70-79","Other","Mobile phone","1-3 ","6-9","1","3","3","4","2","2","2","3","3","4","4","4","3","3","4","4","3","2","3","4","4","4","3"
222,"Female","Second/ Sophomore","+30","+90","Mobile phone","Mobile phone","3-6","1-3 ","3","3","2","2","2","2","2","2","2","2","3","1","2","2","2","3","3","2","2","2","2","3","2"
223,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","3-6","1","1","4","4","3","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
224,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","6-9","3","4","3","4","1","3","1","3","3","4","1","4","1","4","4","4","4","3","4","4","4","3","4"
225,"Female","Second/ Sophomore","25-30","+90","Laptop","Laptop","1-3 ","6-9","3","4","2","4","4","1","2","3","3","4","3","4","3","4","4","3","4","2","3","2","3","4","2"
226,"Female","First/Freshman","18-24","80-89","Laptop","Mobile phone","6-9","9-12","4","4","2","3","4","1","4","4","4","4","3","4","3","4","4","4","4","4","4","4","4","4","4"
227,"Female","First/Freshman","18-24","70-79","Laptop","Laptop","1-3 ","1-3 ","3","2","4","4","3","3","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
228,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","1","4","4","4","4","4","1","4","1","4","3","4","4","4","4","4","4","3","4","4","4","4","3"
229,"Female","Third/Junior","25-30","80-89","Mobile phone","Laptop","3-6","6-9","2","4","2","2","4","0","1","4","1","4","4","4","3","3","4","3","3","4","4","4","4","4","4"
230,"Female","First/Freshman","18-24","+90","Laptop","Laptop","1-3 ","6-9","3","4","2","2","4","0","3","4","4","4","2","2","1","3","3","3","3","4","3","4","2","3","3"
231,"Female","First/Freshman","18-24","+90","Other","Other","1-3 ","1-3 ","2","2","4","4","3","3","4","4","3","3","4","4","4","3","3","3","3","3","3","3","3","3","2"
232,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Laptop","3-6","6-9","2","2","3","3","3","1","1","3","3","4","4","4","4","4","4","4","3","4","4","4","3","3","2"
233,"Female","Third/Junior","+30","80-89","Mobile phone","Mobile phone","1-3 ","6-9","3","3","1","1","1","3","1","1","3","4","1","3","1","1","3","3","4","2","3","1","3","2","1"
234,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","9-12","3","4","2","3","4","0","2","4","1","4","4","4","4","2","4","4","4","2","2","3","4","3","3"
235,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","3-6","2","3","2","2","3","2","1","3","1","3","2","3","3","3","3","3","4","3","3","3","2","3","3"
236,"Female","Third/Junior","18-24","+90","Laptop","Laptop","6-9","3-6","4","4","1","1","4","4","1","1","2","3","3","2","3","2","2","3","3","2","2","3","2","4","1"
237,"Male","Second/ Sophomore","25-30","60-69","Mobile phone","Mobile phone","1-3 ","9-12","3","3","1","1","3","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
238,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","1-3 ","1","3","3","3","3","1","1","1","3","4","3","2","4","3","3","4","3","4","3","4","2","4","2"
239,"Female","Other","18-24","+90","I pad/ Tablet","I pad/ Tablet","3-6","9-12","4","4","4","1","4","4","2","2","4","4","4","2","3","4","3","4","4","1","4","4","4","4","1"
240,"Male","Second/ Sophomore","18-24","70-79","Other","Laptop","1-3 ","3-6","3","3","3","3","3","4","3","3","3","3","3","3","3","3","3","3","4","4","2","3","4","2","2"
241,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","1-3 ","9-12","1","4","2","1","3","1","2","3","1","3","2","3","3","3","3","4","4","3","3","3","3","3","3"
242,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","9-12","12+","2","1","2","3","4","2","1","1","4","4","1","3","3","4","4","4","3","4","4","3","2","4","4"
243,"Male","Second/ Sophomore","18-24","80-89","Laptop","Laptop","3-6","6-9","2","4","2","3","2","2","2","4","3","3","2","3","3","4","3","4","4","4","4","3","3","4","4"
244,"Female","Second/ Sophomore","25-30","70-79","Laptop","Laptop","1-3 ","3-6","3","4","2","4","4","4","1","4","1","4","4","3","1","3","3","4","2","1","3","1","4","3","4"
245,"Female","Second/ Sophomore","25-30","70-79","Laptop","Laptop","1-3 ","3-6","3","4","2","4","4","4","1","4","1","4","4","3","1","3","3","4","2","1","3","1","4","3","4"
246,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","1-3 ","3-6","3","4","2","2","4","0","2","4","2","4","4","3","4","2","3","4","4","2","2","4","4","4","4"
247,"Female","First/Freshman","+30","+90","Mobile phone","Mobile phone","9-12","9-12","1","1","3","3","4","4","3","3","4","4","4","4","4","2","4","4","4","4","4","4","4","4","4"
248,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","3-6","6-9","2","4","2","2","4","4","3","3","2","2","2","2","2","2","2","3","3","1","2","1","2","0","0"
249,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","3-6","1-3 ","4","3","4","3","4","1","4","2","4","3","3","4","4","4","4","4","3","4","4","4","3","3","3"
250,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","2","4","1","4","3","1","2","3","3","4","4","4","3","3","3","4","4","4","3","4","4","4","4"
251,"Female","Fourth/Senior","25-30","60-69","Mobile phone","Mobile phone","1-3 ","6-9","2","4","2","4","3","1","2","4","2","4","4","3","1","3","3","4","3","1","3","0","2","0","3"
252,"Female","Second/ Sophomore","18-24","70-79","Mobile phone","Mobile phone","1-3 ","1-3 ","4","4","4","4","2","2","3","4","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
253,"Female","Fourth/Senior","18-24","80-89","Other","Laptop","1-3 ","6-9","2","2","3","3","4","2","2","3","3","4","3","3","3","4","4","4","3","4","4","3","4","4","3"
254,"Female","Second/ Sophomore","25-30","80-89","Laptop","Laptop","1-3 ","3-6","4","4","4","4","3","0","4","3","3","4","4","2","2","2","4","4","4","4","4","4","4","4","4"
255,"Male","First/Freshman","18-24","80-89","Laptop","Laptop","1-3 ","1-3 ","4","4","0","0","4","4","4","4","4","4","0","4","4","2","4","4","4","1","1","4","4","4","0"
256,"Female","Third/Junior","18-24","70-79","Laptop","Mobile phone","1-3 ","3-6","2","4","2","4","3","4","2","4","2","4","3","3","3","3","3","3","4","4","3","3","3","4","3"
257,"Female","First/Freshman","18-24","80-89","Mobile phone","Laptop","1-3 ","3-6","4","4","4","4","0","0","4","4","4","4","4","4","4","0","4","4","4","3","1","4","4","4","4"
258,"Female","Other","+30","70-79","Laptop","Mobile phone","1-3 ","3-6","3","4","1","2","4","3","0","3","4","4","2","4","3","3","4","3","4","4","4","4","3","4","4"
259,"Female","Second/ Sophomore","18-24","+90","Laptop","Laptop","1-3 ","3-6","4","4","1","1","3","1","1","3","2","2","0","1","3","0","1","4","4","1","1","3","2","3","4"
260,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Laptop","9-12","12+","3","4","3","1","3","1","3","4","3","4","3","3","3","3","4","4","4","3","3","3","3","3","3"
261,"Female","Fourth/Senior","+30","+90","Mobile phone","Mobile phone","3-6","6-9","3","4","2","3","4","3","3","4","3","4","3","3","3","3","3","4","4","3","4","4","3","4","3"
262,"Male","Other","18-24","60-69","Mobile phone","Laptop","1-3 ","12+","2","4","2","4","2","4","2","4","2","4","4","2","4","4","4","4","4","4","4","4","4","4","4"
263,"Female","Second/ Sophomore","18-24","70-79","Laptop","Laptop","3-6","9-12","3","4","3","3","3","3","3","3","4","4","4","4","4","4","4","4","3","3","3","3","3","4","3"
264,"Male","Other","18-24","60-69","Mobile phone","Laptop","1-3 ","6-9","2","2","3","3","3","1","1","4","3","4","3","4","3","4","4","4","4","2","4","2","4","4","0"
265,"Female","Third/Junior","18-24","70-79","Mobile phone","Mobile phone","3-6","6-9","3","4","2","0","4","1","3","4","3","3","4","4","4","4","3","4","4","2","4","4","4","4","0"
266,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","1-3 ","6-9","1","3","3","1","3","3","2","2","3","3","3","3","3","3","2","3","3","2","3","2","2","3","3"
267,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","0","0","0","0","4","0","0","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
268,"Female","Fourth/Senior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","0","0","0","0","4","0","0","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","1"
269,"Female","Second/ Sophomore","18-24","+90","I pad/ Tablet","I pad/ Tablet","3-6","9-12","3","4","3","4","3","4","4","4","4","4","4","4","4","4","4","2","4","4","4","4","4","4","0"
270,"Female","Third/Junior","18-24","70-79","Mobile phone","Laptop","3-6","6-9","4","4","2","4","3","3","3","3","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4"
271,"Male","Other","18-24","60-69","Other","Mobile phone","1-3 ","6-9","2","4","4","4","3","2","1","4","3","4","4","4","4","4","4","4","4","3","4","4","4","3","3"
272,"Female","Second/ Sophomore","18-24","+90","Laptop","Mobile phone","1-3 ","1-3 ","1","2","2","3","3","0","3","3","3","4","2","3","4","3","4","4","4","4","4","4","4","4","4"
273,"Female","Fourth/Senior","18-24","70-79","Other","Laptop","1-3 ","6-9","1","1","4","4","3","1","1","4","4","4","4","4","4","4","4","4","3","4","4","3","3","4","4"
274,"Female","First/Freshman","+30","+90","Other","Laptop","1-3 ","3-6","1","4","4","4","4","1","4","4","4","4","2","4","4","3","3","4","4","4","4","2","4","4","4"
275,"Female","Third/Junior","18-24","80-89","Laptop","Laptop","1-3 ","12+","0","3","4","4","3","0","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
276,"Female","Second/ Sophomore","18-24","+90","Laptop","Mobile phone","6-9","9-12","3","4","1","1","3","3","1","4","4","4","3","3","2","3","2","4","3","1","3","1","4","3","1"
277,"Female","First/Freshman","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","4","4","2","0","2","4","4","3","2","4","2","2","1","0","4","2","2","1","1","0","1","3","0"
278,"Female","First/Freshman","18-24","+90","Laptop","Laptop","3-6","9-12","2","4","1","2","4","0","1","4","3","4","4","4","3","4","4","4","4","2","4","2","3","4","2"
279,"Female","First/Freshman","18-24","70-79","Other","Other","1-3 ","1-3 ","2","2","4","4","3","3","3","3","4","4","2","3","4","4","4","4","4","4","4","3","4","4","4"
280,"Female","Third/Junior","18-24","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","3","4","2","1","4","1","3","4","2","4","2","3","4","3","4","4","3","3","2","3","3","4","4"
281,"Female","Third/Junior","18-24","70-79","Laptop","Laptop","3-6","6-9","2","3","4","4","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
282,"Female","Third/Junior","18-24","60-69","Mobile phone","Mobile phone","6-9","6-9","3","4","4","4","4","4","4","4","4","4","3","2","3","3","4","4","4","4","4","4","4","4","4"
283,"Female","Second/ Sophomore","25-30","80-89","Mobile phone","Mobile phone","1-3 ","1-3 ","4","4","0","0","3","3","0","0","0","0","1","1","0","1","1","2","1","1","1","0","0","1","0"
284,"Female","Second/ Sophomore","18-24","70-79","Laptop","Laptop","1-3 ","3-6","3","1","1","4","4","0","1","4","4","4","4","4","4","4","4","4","4","4","4","3","4","4","2"
285,"Female","Fourth/Senior","18-24","60-69","Mobile phone","I pad/ Tablet","3-6","6-9","3","3","1","1","3","1","4","4","3","4","2","3","3","3","3","3","3","3","3","3","3","3","3"
286,"Female","Other","+30","70-79","Mobile phone","Laptop","3-6","9-12","3","4","2","4","3","1","2","4","2","4","3","4","4","4","4","4","4","4","4","4","4","4","2"
287,"Female","First/Freshman","18-24","+90","Mobile phone","Mobile phone","6-9","6-9","3","4","2","3","1","1","3","4","4","4","4","3","2","2","3","4","4","2","2","2","3","2","3"
288,"Female","First/Freshman","18-24","60-69","Mobile phone","Laptop","3-6","6-9","2","4","4","4","3","0","4","4","4","4","4","4","4","3","4","4","4","4","4","4","4","4","4"
289,"Female","Fourth/Senior","25-30","80-89","Mobile phone","Mobile phone","1-3 ","3-6","3","4","1","1","4","1","1","4","3","3","3","4","4","4","3","4","4","3","4","4","4","4","4"
290,"Male","Third/Junior","18-24","70-79","Personal Computer","Personal Computer","1-3 ","9-12","2","4","4","4","4","2","1","4","2","4","4","4","4","4","4","4","4","3","4","4","2","4","3"
291,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Mobile phone","1-3 ","6-9","1","4","1","3","4","0","0","4","1","4","4","4","4","4","4","4","4","4","4","4","1","3","1"
292,"Female","Fourth/Senior","18-24","70-79","Mobile phone","Laptop","1-3 ","3-6","3","4","2","4","4","0","2","3","2","4","3","4","4","4","4","4","4","4","4","4","4","4","4"
293,"Male","Other","25-30","60-69","Mobile phone","Mobile phone","1-3 ","3-6","2","4","2","4","2","1","1","4","1","4","4","3","3","4","4","4","4","4","3","4","3","4","2"
294,"Male","Third/Junior","18-24","+90","Mobile phone","Laptop","1-3 ","6-9","3","4","2","4","4","1","3","4","2","4","4","4","4","4","3","4","3","3","4","4","4","3","4"
295,"Female","Third/Junior","18-24","80-89","Mobile phone","Laptop","3-6","9-12","2","3","2","4","4","0","1","4","2","4","4","4","3","4","4","2","3","4","4","4","2","4","4"
296,"Female","Third/Junior","18-24","60-69","Mobile phone","Mobile phone","6-9","9-12","3","4","2","4","3","1","2","3","3","4","3","4","4","3","4","4","4","4","4","3","4","3","4"
297,"Male","Third/Junior","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","2","4","2","4","3","0","2","4","3","4","4","4","4","4","4","4","4","4","4","3","3","3","4"
298,"Female","Second/ Sophomore","18-24","70-79","Other","Laptop","1-3 ","3-6","1","4","3","1","4","0","2","4","4","4","4","3","4","4","4","4","4","4","4","4","4","4","4"
299,"Female","Fourth/Senior","18-24","80-89","Laptop","Laptop","3-6","6-9","4","4","1","1","4","4","2","2","2","1","1","1","2","2","2","3","3","1","2","1","1","2","1"
300,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","3-6","1-3 ","2","2","3","3","2","2","2","3","2","3","3","2","3","4","4","4","3","4","4","4","3","4","3"
301,"Male","Third/Junior","18-24","60-69","Mobile phone","Laptop","1-3 ","9-12","2","4","3","4","4","1","2","4","2","4","4","4","3","3","4","3","3","4","4","4","3","4","4"
302,"Female","Second/ Sophomore","18-24","80-89","Mobile phone","Laptop","1-3 ","6-9","2","4","2","1","3","1","2","4","2","3","4","2","3","3","2","3","4","1","3","2","3","3","1"
303,"Female","Other","25-30","70-79","Laptop","Mobile phone","1-3 ","1-3 ","3","3","1","1","2","2","1","1","3","3","3","4","3","4","3","4","4","2","4","3","2","3","2"
304,"Female","Fourth/Senior","25-30","+90","Mobile phone","Mobile phone","3-6","9-12","3","4","3","3","4","4","4","4","4","4","2","3","4","0","2","4","4","3","1","2","3","4","2"
