"sex","yr","age","cgpa","bdevice","adevice","devuse.score","sleep.score","social.score","psych.score","acad.score","class"
"0","1","0","2","0","0",2,3,14,20,16,1
"1","3","0","1","0","0",2,5,15,18,15,1
"0","4","0","1","1","1",2,2,12,17,16,1
"0","3","0","2","4","0",2,1,16,17,12,1
"0","3","0","1","4","0",1,2,12,18,8,2
"0","3","0","2","1","0",0,3,10,19,14,1
"1","2","0","2","1","1",3,5,11,13,9,2
"1","3","0","0","0","1",4,5,11,15,11,2
"0","3","0","1","1","1",2,3,14,18,16,1
"1","2","0","1","1","1",1,0,13,13,10,2
"0","3","0","1","1","1",4,5,16,20,15,3
"0","2","0","2","1","1",1,3,8,10,1,2
"0","0","0","1","1","0",-1,2,16,20,15,1
"0","0","0","3","1","0",1,2,10,14,12,2
"0","1","0","1","1","0",4,7,14,20,14,3
"0","0","0","0","4","1",2,3,16,20,16,1
"1","2","0","1","1","0",-1,0,8,15,6,2
"1","0","0","2","1","1",4,4,13,19,13,1
"1","3","0","1","1","1",1,0,12,18,9,2
"0","0","0","1","1","1",1,4,12,20,16,1
"0","0","0","3","1","0",4,3,16,20,14,1
"0","0","0","0","1","4",0,2,16,20,16,1
"1","3","0","1","1","0",-2,0,16,20,12,1
"0","4","0","1","1","1",5,0,12,15,14,2
"0","3","0","1","0","0",1,4,14,17,15,1
"1","3","0","2","1","0",5,8,16,20,12,3
"0","2","0","3","1","1",1,1,7,15,12,2
"0","3","0","2","1","0",3,9,16,20,16,3
"0","2","0","1","1","0",4,4,16,20,16,1
"0","4","0","2","1","0",3,5,14,20,15,1
"0","0","0","2","0","1",3,-1,13,20,16,1
"1","1","0","2","1","1",1,0,14,15,10,2
"0","3","0","2","1","4",0,8,16,19,15,3
"0","2","0","2","1","0",2,5,16,19,14,3
"0","2","0","3","0","0",1,7,13,13,6,2
"0","4","0","2","1","1",1,2,14,18,15,1
"1","3","0","1","1","1",1,0,6,12,11,2
"0","4","0","2","1","1",1,0,13,19,13,1
"0","2","0","2","3","1",2,4,12,20,11,1
"0","2","0","2","0","1",0,4,14,17,12,1
"0","3","0","2","1","1",5,9,16,20,16,3
"0","3","0","1","1","1",2,2,9,15,11,2
"0","3","0","3","0","0",2,3,10,20,15,1
"0","1","0","2","1","1",3,0,15,20,16,1
"0","0","0","3","1","1",4,2,15,17,11,2
"0","3","0","3","4","4",4,1,12,14,8,2
"0","2","0","1","1","1",1,0,6,16,8,2
"0","0","0","2","1","1",4,3,14,19,12,1
"0","3","0","1","4","1",3,-4,10,17,8,2
"0","3","0","2","0","0",0,0,9,15,11,2
"1","2","0","3","3","1",4,0,12,15,10,2
"0","2","0","3","1","1",2,2,12,17,15,1
"0","2","0","3","0","0",3,6,16,20,16,3
"0","0","0","2","4","1",0,1,12,18,13,1
"0","3","0","3","1","1",2,0,14,13,14,2
"1","3","1","2","0","0",2,0,15,17,15,1
"0","2","0","2","0","0",1,2,12,20,9,2
"0","2","0","1","1","0",6,3,16,20,16,1
"0","3","0","2","0","1",2,1,12,20,10,2
"0","1","0","1","4","0",2,3,14,20,13,1
"0","2","0","1","1","1",3,2,16,20,16,1
"0","1","0","2","1","1",2,3,13,17,10,2
"0","3","0","2","1","1",1,-2,14,17,11,2
"0","1","0","2","4","1",3,3,4,16,12,2
"0","0","0","3","1","0",1,6,15,11,14,3
"0","2","0","1","1","1",0,8,13,20,13,3
"0","4","0","2","1","0",5,10,16,20,16,3
"0","2","0","2","1","1",5,0,16,20,15,1
"1","1","0","1","1","1",1,0,15,20,15,1
"0","3","0","2","0","0",1,4,16,20,14,1
"0","2","0","2","1","1",2,5,8,15,13,2
"0","3","0","1","1","1",1,2,13,20,9,2
"0","3","0","3","4","1",6,5,16,20,16,3
"0","1","0","3","0","0",1,1,15,19,16,1
"0","1","0","2","1","1",5,2,13,19,15,1
"0","1","0","2","1","1",2,3,11,17,14,1
"0","2","0","2","1","1",0,0,12,14,11,2
"0","3","1","2","1","1",3,1,11,13,6,2
"0","1","0","2","1","1",0,2,16,20,14,1
"0","3","0","3","1","1",6,3,13,17,14,1
"0","1","0","3","0","1",3,8,12,16,13,3
"0","2","0","3","1","1",1,2,15,20,15,1
"0","2","0","3","1","1",1,4,10,13,6,2
"0","0","0","1","1","0",0,2,14,17,13,1
"0","0","0","3","1","1",3,1,15,20,16,1
"0","3","0","2","1","1",1,5,13,19,15,1
"0","3","0","2","1","1",5,3,14,19,13,1
"0","4","0","2","1","1",1,0,9,15,10,2
"0","1","0","2","1","1",2,3,13,18,12,1
"0","2","0","2","1","1",1,0,7,14,9,2
"0","3","0","1","1","1",0,4,12,15,14,1
"0","2","0","1","0","0",2,2,15,17,16,1
"0","2","0","2","1","1",1,7,15,19,15,3
"0","4","2","3","0","0",0,0,16,20,13,1
"0","1","0","1","4","1",1,10,16,20,16,3
"0","3","0","2","1","1",1,4,9,17,11,2
"0","1","0","1","1","1",4,2,13,17,13,1
"0","3","0","3","4","0",4,7,13,19,12,3
"0","4","0","1","1","1",3,6,15,17,13,3
"0","1","0","3","1","1",2,0,9,15,11,2
"0","1","0","1","1","1",2,8,16,20,16,3
"0","3","0","1","1","0",3,4,9,16,9,2
"0","3","0","1","4","1",3,6,16,18,7,3
"0","2","0","2","0","0",1,3,12,20,13,1
"0","0","0","3","1","1",1,2,14,13,13,2
"0","1","0","2","1","3",7,2,14,20,15,1
"1","1","0","1","1","0",0,4,7,9,6,2
"0","1","0","2","1","1",3,2,16,18,15,1
"0","0","0","2","1","1",4,1,8,14,10,2
"0","0","0","3","1","0",-1,7,16,20,16,3
"0","3","0","1","1","0",4,7,12,20,11,3
"0","1","0","2","1","1",0,2,13,16,12,2
"0","3","0","1","1","1",0,0,12,18,14,1
"0","0","0","1","1","1",2,2,16,18,16,1
"0","4","0","3","1","0",3,0,14,19,16,1
"0","1","0","2","1","1",2,3,14,16,11,2
"1","1","0","1","1","1",0,2,11,16,16,1
"0","3","0","2","1","1",4,7,9,18,8,2
"0","2","0","1","1","1",3,3,14,20,9,1
"1","1","0","2","2","0",4,3,10,13,8,2
"1","2","1","1","1","2",3,1,11,15,12,2
"1","2","0","2","3","0",1,1,11,14,11,2
"1","2","0","1","2","0",4,0,11,13,9,2
"1","3","0","1","2","1",1,-2,11,13,12,2
"1","0","0","3","3","0",2,1,11,12,12,2
"1","1","1","1","1","0",3,1,11,13,15,2
"1","2","0","1","0","0",3,2,10,14,11,2
"0","3","0","0","1","1",5,3,11,14,11,2
"0","1","0","2","1","1",3,0,12,16,10,2
"0","1","0","1","1","1",2,0,11,18,11,2
"0","2","0","1","1","1",-4,0,4,9,6,2
"0","0","0","3","4","0",6,4,15,20,16,3
"0","1","0","3","1","0",2,0,7,9,8,2
"1","2","1","1","1","0",2,3,10,13,13,2
"0","4","0","2","1","0",0,0,15,16,12,2
"0","1","0","1","1","0",1,0,12,16,10,2
"0","3","0","2","1","1",4,6,14,19,10,3
"0","1","0","1","1","1",1,7,16,19,16,3
"0","4","0","1","1","1",0,4,6,15,12,2
"0","3","0","3","1","1",2,2,12,19,13,1
"0","3","0","2","1","0",6,3,16,20,16,1
"0","1","0","1","1","1",3,7,15,19,16,3
"0","2","0","3","1","1",2,3,15,18,16,1
"0","2","0","2","1","1",3,2,16,19,15,1
"0","1","0","1","1","1",0,5,14,18,14,1
"0","3","0","0","0","0",0,2,14,10,4,2
"0","2","0","3","1","1",1,-1,13,18,14,1
"0","2","0","2","1","1",2,3,12,18,12,1
"0","1","0","3","1","1",1,5,11,16,8,2
"0","2","0","0","1","1",3,2,14,18,9,2
"0","3","0","1","0","0",3,4,16,19,15,1
"0","1","1","1","1","1",1,0,8,16,14,2
"0","0","0","2","0","0",0,4,16,19,16,1
"0","1","0","2","0","1",2,8,15,16,12,3
"0","3","0","1","1","1",6,2,14,19,13,1
"0","4","0","2","1","1",2,0,10,18,16,1
"1","3","0","2","1","1",7,6,16,20,12,3
"0","4","0","1","1","3",2,4,15,20,16,1
"1","3","0","1","4","1",1,2,15,20,16,1
"0","3","1","2","1","0",-1,1,14,15,11,2
"0","3","0","1","1","1",0,2,13,16,9,2
"0","1","0","2","1","1",10,7,15,20,16,3
"0","2","0","2","1","1",2,5,10,14,13,2
"0","3","0","1","1","1",3,3,16,17,15,1
"1","0","0","3","1","0",1,2,10,12,13,2
"0","3","0","1","1","0",1,7,11,17,12,3
"0","3","0","2","1","0",1,0,11,15,12,2
"0","0","0","2","0","0",0,0,14,18,14,1
"1","2","0","1","1","1",0,8,15,15,14,3
"0","3","0","2","1","1",2,1,14,16,11,2
"0","2","0","3","1","1",2,3,12,15,10,2
"0","3","0","0","0","0",0,4,13,18,10,2
"0","1","0","2","1","1",4,1,10,20,16,1
"0","3","0","1","1","0",3,2,12,16,12,2
"1","0","0","3","0","0",0,0,10,20,16,1
"1","4","0","1","1","0",0,-2,7,15,12,2
"1","0","0","1","3","3",0,-1,14,16,14,1
"0","1","0","3","0","0",2,2,12,17,15,1
"0","3","0","1","1","3",-1,0,9,15,13,2
"0","0","0","2","1","1",0,0,16,20,16,1
"0","2","0","2","0","0",2,0,8,10,8,2
"1","2","0","2","0","0",0,1,16,19,13,1
"0","1","0","3","0","0",1,1,16,20,16,1
"1","1","0","1","0","0",2,3,14,18,14,1
"1","1","0","2","3","3",0,0,8,14,7,2
"0","0","0","3","1","0",2,10,15,19,12,3
"0","4","0","1","0","0",2,1,16,17,14,1
"0","2","0","3","1","0",1,4,12,13,10,2
"0","1","0","3","1","3",2,0,8,11,12,2
"0","2","0","3","1","0",3,2,14,20,16,1
"1","0","0","3","0","0",1,0,16,15,12,2
"0","2","0","3","0","0",0,0,9,16,9,2
"0","3","0","1","1","1",4,4,11,16,14,1
"1","1","0","1","1","1",0,0,12,13,12,2
"0","0","0","3","1","1",-1,1,14,17,15,1
"0","3","0","1","1","1",5,0,10,15,7,2
"0","2","0","3","1","1",3,5,11,14,4,2
"0","0","0","3","0","1",7,11,15,20,16,3
"1","3","0","1","1","1",1,2,16,20,16,1
"0","0","0","2","1","1",3,4,16,20,16,1
"0","0","0","3","1","0",3,6,15,17,15,3
"0","3","0","3","1","1",2,6,16,20,16,3
"1","2","0","2","1","0",0,0,13,7,5,2
"0","0","0","3","1","1",1,2,4,19,16,2
"0","0","0","2","4","1",0,0,16,20,16,1
"0","3","0","1","4","1",0,0,9,18,14,2
"0","2","0","1","1","1",0,-1,10,15,12,2
"1","1","1","1","0","0",1,6,12,19,14,1
"0","4","0","2","1","1",4,-2,15,19,8,2
"1","2","0","2","0","0",0,0,16,17,15,1
"0","3","0","2","1","1",-1,0,11,15,9,2
"0","4","1","3","2","2",1,2,16,20,10,1
"0","2","0","2","1","1",1,0,15,20,12,1
"0","0","0","0","1","1",2,-2,14,17,15,1
"0","4","0","1","1","1",0,-1,14,19,15,1
"0","3","0","2","4","1",3,5,12,16,14,1
"0","4","1","1","1","1",2,4,9,15,13,2
"0","3","0","2","4","1",1,7,15,20,15,3
"1","3","0","1","0","1",-1,6,16,20,16,1
"1","3","2","0","0","0",0,1,12,12,1,2
"0","3","0","1","1","1",1,1,16,17,16,1
"0","1","0","1","1","1",5,2,14,19,16,1
"0","3","0","0","1","0",4,3,12,20,13,1
